category,weight,wing,tarsus,blength,bdepth,bwidth,Prin1,Prin1 2,Prin2
fortis,17.7,64,18.9,11.05,10.15,9.15,-0.729406622,1.225564177,-0.938598826
fortis,16.4,69,18.7,10.7,9.7,8.7,-0.220598077,0.337768734,-0.742432396
fortis,16,68,19.2,11,10,9,-0.235388583,0.949305819,-0.834789011
fortis,17.8,67,19.3,11.8,9.8,9,0.057816125,1.031245446,-0.288654007
fortis,15.7,67,19.1,10.7,9.6,8.7,-0.543122224,0.260697812,-0.699890925
fortis,17.51,70.84,19.44,10.84,8.66,8.65,0.770596104,-0.471086894,-0.196379201
fortis,15.46,66.84,18.4,10.09,8.56,8,-0.99850553,-1.401704022,-0.2878828
fortis,16.41,64.84,18.64,11.94,9.57,8.75,-1.016175127,0.652135111,0.004564424
fortis,14.19,66.66,18.4,9.9,8.87,8.16,-1.331277202,-1.063230171,-0.602662144
fortis,15.11,65.33,18.95,10.04,9.01,8.4,-1.069065572,-0.68058161,-0.691637473
fortis,16.16,67.33,19.74,11.34,9.81,9.2,-0.03617612,1.097734869,-0.64976424
fortis,17.7,69,19.4,11.4,10.3,9.9,0.455385352,2.173940618,-1.144767568
fortis,18.75,70.5,18.85,10.75,9.2,9,0.689245608,0.25896298,-0.638536013
fortis,13.8,65,19.6,10.9,8.8,8.3,-1.095991541,-0.685907553,-0.060793842
fortis,21.2,69,19.8,11.7,9.6,8.8,1.492119809,0.653064241,-0.169451423
fortis,14.66,66.33,18.69,10.09,8.77,7.8,-1.128190975,-1.434384263,-0.285468738
fortis,15.12,65.66,18.74,10.35,8.87,8.23,-1.116706754,-0.862349131,-0.375433262
fortis,16.6,69,17.7,9.7,9.1,8.7,-0.700972717,-0.41975864,-1.063498648
fortis,17.2,71,18.3,11.6,10.4,9.5,0.125517819,1.920973555,-0.888543723
fortis,16.8,68,17.5,9.9,9.4,8.8,-0.943503428,-0.032260916,-1.12173562
fortis,15.8,68,18.3,10.7,9.2,8.6,-0.757374404,-0.144850466,-0.483849467
fortis,14.63,65.34,19.1,9.84,8.72,8.38,-1.101330219,-0.98256057,-0.674355107
fortis,16.35,66.5,19.2,11.8,9.8,8.65,-0.429121335,0.690819386,-0.128089495
fortis,15.6,69,17.9,10.9,8.4,8.3,-0.831378576,-0.994191242,0.109372041
fortis,15.65,70.5,19.5,11,9.45,8.55,0.30081419,0.087725098,-0.394370833
fortis,16,69,19.5,10.1,9.3,8.8,0.107081439,-0.050311471,-0.963931134
fortis,14.7,67,18,10,8.6,8.6,-1.359353662,-0.813847288,-0.632021195
